Model,Loss,Accuracy,Precision,Recall,F1,Time
Attention,3.967790055274963,0.003,0.003,0.003,0.003,0.08576512336730957
LocalTrittention,4.006081509590149,0.004,0.004,0.004,0.004,0.02947402000427246
MixedAttention,3.8347243309020995,0.037,0.037,0.037,0.037,0.029352903366088867
Trittention,3.8540584087371825,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.026836872100830078
TrittentionCube,3.991116166114807,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.038873910903930664
